No.,チャンネル,動画番号,動画ID,YouTubeID,タイトル,台本,台本番号,作成フラグ,進捗,品質チェック結果,文字数,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,更新日時,音声整形,音声検証,音声生成,音声品質,DALL-Eプロンプト（URL・テキスト指示込み）,台本パス,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型,史実エピソード候補
1,CH01,1,CH01-001,zhZIrjksxbE,むしろ孤独は強みに変わる | ブッダの教え,workspaces/scripts/CH01/001/content/assembled.md,,,投稿済み,,6779,,,,,,,,"Feb 7, 2024",,,,,,workspaces/scripts/CH01/001/content/assembled.md,,,,,,,,,kata2,
2,CH01,2,CH01-002,H8IaaDgZeVc,完璧じゃなくていい | ブッダの教え,workspaces/scripts/CH01/002/content/assembled.md,,,投稿済み,,7500,,,,,,,,"Feb 7, 2024",,,,,,workspaces/scripts/CH01/002/content/assembled.md,,,,,,,,,kata1,
3,CH01,3,CH01-003,jSeH6UIhCdM,苦しみはむしろプラスになる | ブッダの教え,workspaces/scripts/CH01/003/content/assembled.md,,,投稿済み,,6260,,,,,,,,"Feb 7, 2024",,,,,,workspaces/scripts/CH01/003/content/assembled.md,,,,,,,,,kata2,
4,CH01,4,CH01-004,faPQK4iSvKA,自分を縛る枠を壊す！自我の解体で見つける真の幸せ,workspaces/scripts/CH01/004/content/assembled.md,,,投稿済み,,4524,,,,,,,,"Feb 9, 2024",,,,,,workspaces/scripts/CH01/004/content/assembled.md,,,,,,,,,kata2,
5,CH01,5,CH01-005,nxSH39RySik,反逆の瞑想 - 「ルールを破る瞑想、心の自由を解き放つ」,workspaces/scripts/CH01/005/content/assembled.md,,,投稿済み,,6953,,,,,,,,"Feb 9, 2024",,,,,,workspaces/scripts/CH01/005/content/assembled.md,,,,,,,,,kata2,
6,CH01,6,CH01-006,qhg12mkezAw,ひとりぼっちの中の王国：孤独が教えてくれる自己発見,workspaces/scripts/CH01/006/content/assembled.md,,,投稿済み,,6267,,,,,,,,"Feb 10, 2024",,,,,,workspaces/scripts/CH01/006/content/assembled.md,,,,,,,,,kata2,
7,CH01,7,CH01-007,-J77divmElo,悩みを吹き飛ばす！ブッダの「この一問」で心が軽くなる,workspaces/scripts/CH01/007/content/assembled.md,,,投稿済み,,6631,,,,,,,,"Feb 21, 2024",,,,,,workspaces/scripts/CH01/007/content/assembled.md,,,,,,,,,kata2,
8,CH01,8,CH01-008,KuVhkSws0A0,ポケットに仏陀を。日常で見つける悟りの瞬間 | 仏教の教え,workspaces/scripts/CH01/008/content/assembled.md,,,投稿済み,,5152,,,,,,,,"Feb 22, 2024",,,,,,workspaces/scripts/CH01/008/content/assembled.md,,,,,,,,,kata3,
9,CH01,9,CH01-009,_k4glHeSw34,欲望の渦から抜け出し、心の平和を見つける旅 | ブッダの教え,workspaces/scripts/CH01/009/content/assembled.md,,,投稿済み,,6895,,,,,,,,"Feb 26, 2024",,,,,,workspaces/scripts/CH01/009/content/assembled.md,,,,,,,,,kata2,
10,CH01,10,CH01-010,0N-aaBWsbpc,反応を止めれば世界は変わる | ブッダの教え #ブッダ #仏教 #,workspaces/scripts/CH01/010/content/assembled.md,,,投稿済み,,6115,,,,,,,,"Feb 27, 2024",,,,,,workspaces/scripts/CH01/010/content/assembled.md,,,,,,,,,kata2,
